day,metric,actionname,timecost
2020-09-30 ,Pricat Variant,Update Metric,9.957
2020-09-29 ,Retail Price,Update Metric,7.649
2020-09-28 ,Retail Price,Update Metric,8.914
2020-09-25 ,Pricat Model,Update Metric,3.022
2020-09-24 ,Pricat Model,Update Metric,3.953
2020-09-23 ,Pricat Model,Update Metric,9.297
2020-09-22 ,Pref. Retail Price,Update Metric,9.806
2020-09-21 ,Pricat Variant,Update Metric,9.729
2020-09-18 ,Retail Price,Update Metric,7.534
2020-09-17 ,Pricat Variant,Update Metric,9.718
2020-09-16 ,Pricat Model,Update Metric,6.199
2020-09-15 ,Pref. Retail Price,Update Metric,8.961
2020-09-14 ,Pref. Retail Price,Update Metric,8.3
2020-09-11 ,Pricat Model,Update Metric,5.991
2020-09-10 ,Pref. Retail Price,Update Metric,9.459
2020-09-09 ,Pref. Retail Price,Update Metric,7.611
2020-09-08 ,Pref. Retail Price,Update Metric,9.148
2020-09-07 ,Pref. Retail Price,Update Metric,7.135
2020-09-04 ,Size Curve Confirmed,Update Metric,5.181
2020-09-03 ,Pref. Retail Price,Update Metric,9.352
2020-09-02 ,Supplier Name,Update Metric,3.332
2020-09-01 ,Supp. Variant Number,Update Metric,9.388
2020-08-31 ,Pricat Variant,Update Metric,0.991
2020-08-28 ,Calc. Retail Price,Update Metric,7.823
2020-08-27 ,Pref. Retail Price,Update Metric,8.621
2020-08-26 ,Size Curve Confirmed,Update Metric,8.026
2020-08-25 ,Retail Price,Update Metric,7.171
2020-08-24 ,Variant Status,Update Metric,4.254
2020-08-21 ,Supp. Variant Name,Update Metric,4.195
2020-08-20 ,Pricat Model,Update Metric,8.835
2020-08-19 ,Pref. Retail Price,Update Metric,5.161
2020-08-18 ,Pricat Variant,Update Metric,9.904
2020-08-17 ,Pricat Variant,Update Metric,5.14
2020-08-14 ,Pricat Variant,Update Metric,4.293
2020-08-13 ,Calc. Retail Price,Update Metric,2.563
2020-08-12 ,Pricat Model,Update Metric,8.954
2020-08-11 ,Size Curve Confirmed,Update Metric,6.462
2020-08-10 ,Calc. Retail Price,Update Metric,1.51
2020-08-07 ,Size Curve Confirmed,Update Metric,0.07
2020-08-06 ,Retail Price,Update Metric,8.004
2020-08-05 ,Pref. Retail Price,Update Metric,7.523
2020-08-04 ,Supplier Name,Update Metric,1.915
2020-08-03 ,Supp. Variant Number,Update Metric,0.016
2020-07-31 ,Primary Color,Update Metric,0.039
2020-07-30 ,Supplier Name,Update Metric,1.645
2020-07-29 ,Retail Price,Update Metric,1.16
2020-07-28 ,Duty %,Update Metric,0.017
2020-07-27 ,Pref. Retail Price,Update Metric,1.235
2020-07-23 ,Duty %,Update Metric,0.013
2020-07-22 ,Pref. Retail Price (DE),Update Metric,0.019
2020-07-21 ,Size Curve Confirmed,Update Metric,0.003
2020-07-20 ,General Expence #1 %,Update Metric,0.002
2020-07-17 ,Pref. Retail Price,Update Metric,7.799
2020-07-16 ,Retail Price,Update Metric,2.7
2020-07-15 ,Pref. Retail Price,Update Metric,2.033
2020-07-14 ,Pricat Variant,Update Metric,3.156
2020-07-13 ,Pricat Variant,Update Metric,5.805
2020-07-10 ,Pref. Retail Price,Update Metric,2.199
2020-07-09 ,Pricat Variant,Update Metric,4.703
2020-07-08 ,Pricat Variant,Update Metric,6.084
