day,actionname,times
2021-01-04,CLOSE Plan,4
2021-01-04,CREATE,5
2021-01-04,SAVE Plan,42
2021-01-04,Delete Style,6
2021-01-04,OPEN Plan,5
2021-01-04,CREATE DAVINCI STYLE,5
2020-12-30,SAVE Plan,3
2020-12-30,OPEN Plan,1
2020-12-29,CREATE,3
2020-12-29,CREATE DAVINCI STYLE,3
2020-12-29,OPEN Plan,24
2020-12-29,SAVE Plan,104
2020-12-29,CLOSE Plan,11
2020-12-29,COPY Style,7
2020-12-28,CLOSE Plan,9
2020-12-28,OPEN Plan,12
2020-12-28,SAVE Plan,64
2020-12-28,COPY Style,9
2020-12-28,Delete Style,1
2020-12-23,SAVE Plan,8
2020-12-23,OPEN Plan,8
2020-12-23,CLOSE Plan,5
2020-12-22,SAVE Plan,6
2020-12-22,OPEN Plan,6
2020-12-21,CREATE,2
2020-12-21,COPY Style,4
2020-12-21,CLOSE Plan,11
2020-12-21,CREATE DAVINCI STYLE,2
2020-12-21,SAVE Plan,12
2020-12-21,OPEN Plan,27
2020-12-21,Delete Style,3
2020-12-18,SAVE Plan,4
2020-12-18,COPY Style,1
2020-12-18,CREATE,2
2020-12-18,CREATE DAVINCI STYLE,2
2020-12-18,OPEN Plan,14
2020-12-17,CREATE,1
2020-12-17,CREATE DAVINCI STYLE,1
2020-12-17,OPEN Plan,31
2020-12-17,SAVE Plan,17
2020-12-17,CLOSE Plan,14
2020-12-16,OPEN Plan,21
2020-12-16,CLOSE Plan,9
2020-12-16,SAVE Plan,1
2020-12-15,SAVE Plan,13
2020-12-15,OPEN Plan,56
2020-12-15,CLOSE Plan,33
2020-12-15,COPY Style,3
2020-12-15,Delete Style,1
2020-12-14,CLOSE Plan,14
2020-12-14,COPY Style,4
2020-12-14,Delete Style,3
2020-12-14,OPEN Plan,29
2020-12-14,SAVE Plan,10
2020-12-11,CLOSE Plan,2
2020-12-11,OPEN Plan,11
2020-12-10,CLOSE Plan,7
2020-12-10,SAVE Plan,13
2020-12-10,OPEN Plan,23
2020-12-10,Delete Style,1
2020-12-10,COPY Style,5
2020-12-09,CLOSE Plan,3
2020-12-09,COPY Style,7
2020-12-09,CREATE DAVINCI STYLE,1
2020-12-09,Delete Style,12
2020-12-09,OPEN Plan,23
2020-12-09,SAVE Plan,68
2020-12-09,CREATE,1
2020-12-08,OPEN Plan,21
2020-12-08,Delete Style,13
2020-12-08,CLOSE Plan,7
2020-12-08,COPY Style,3
2020-12-08,SAVE Plan,13
2020-12-07,CLOSE Plan,4
2020-12-07,OPEN Plan,25
2020-12-07,SAVE Plan,6
2020-12-04,OPEN Plan,39
2020-12-04,CREATE DAVINCI STYLE,10
2020-12-04,CREATE,10
2020-12-04,COPY Style,3
2020-12-04,CLOSE Plan,17
2020-12-04,SAVE Plan,32
2020-12-03,SAVE Plan,7
2020-12-03,COPY Style,2
2020-12-03,Delete Style,1
2020-12-03,CLOSE Plan,19
2020-12-03,OPEN Plan,26
2020-12-02,COPY Style,2
2020-12-02,OPEN Plan,27
2020-12-02,SAVE Plan,5
2020-12-02,CLOSE Plan,5
2020-12-01,OPEN Plan,25
2020-12-01,Delete Style,1
2020-12-01,CREATE DAVINCI STYLE,1
2020-12-01,CREATE,1
2020-12-01,COPY Style,4
2020-12-01,CLOSE Plan,4
2020-12-01,SAVE Plan,12
2020-11-30,SAVE Plan,8
2020-11-30,CLOSE Plan,10
2020-11-30,COPY Style,1
2020-11-30,OPEN Plan,34
2020-11-27,OPEN Plan,12
2020-11-27,SAVE Plan,1
2020-11-27,CLOSE Plan,4
2020-11-26,CREATE,11
2020-11-26,COPY Style,12
2020-11-26,CLOSE Plan,36
2020-11-26,CREATE DAVINCI STYLE,11
2020-11-26,OPEN Plan,58
2020-11-26,SAVE Plan,45
2020-11-26,Delete Style,11
2020-11-25,CLOSE Plan,18
2020-11-25,SAVE Plan,80
2020-11-25,OPEN Plan,26
2020-11-25,CREATE DAVINCI STYLE,14
2020-11-25,CREATE,14
2020-11-25,COPY Style,3
2020-11-24,SAVE Plan,17
2020-11-24,CLOSE Plan,29
2020-11-24,OPEN Plan,43
2020-11-24,Delete Style,9
2020-11-24,COPY Style,7
2020-11-23,SAVE Plan,23
2020-11-23,CREATE,5
2020-11-23,CREATE DAVINCI STYLE,5
2020-11-23,Delete Style,8
2020-11-23,OPEN Plan,31
2020-11-23,COPY Style,6
2020-11-23,CLOSE Plan,9
2020-11-20,OPEN Plan,18
2020-11-20,SAVE Plan,1
2020-11-20,CLOSE Plan,10
2020-11-19,SAVE Plan,23
2020-11-19,OPEN Plan,52
2020-11-19,COPY Style,1
2020-11-19,CLOSE Plan,39
2020-11-18,OPEN Plan,100
2020-11-18,SAVE Plan,86
2020-11-18,Delete Style,2
2020-11-18,CREATE DAVINCI STYLE,3
2020-11-18,CREATE,3
2020-11-18,COPY Style,11
2020-11-18,CLOSE Plan,72
2020-11-17,CLOSE Plan,44
2020-11-17,SAVE Plan,24
2020-11-17,OPEN Plan,60
2020-11-17,Delete Style,12
2020-11-17,CREATE DAVINCI STYLE,1
2020-11-17,CREATE,1
2020-11-17,COPY Style,5
2020-11-16,CLOSE Plan,34
2020-11-16,COPY Style,1
2020-11-16,OPEN Plan,52
2020-11-16,SAVE Plan,13
2020-11-13,COPY Style,9
2020-11-13,OPEN Plan,40
2020-11-13,SAVE Plan,40
2020-11-13,CLOSE Plan,22
2020-11-12,SAVE Plan,40
2020-11-12,OPEN Plan,62
2020-11-12,CREATE,1
2020-11-12,CREATE DAVINCI STYLE,1
2020-11-12,Delete Style,1
2020-11-12,COPY Style,3
2020-11-12,CLOSE Plan,42
2020-11-11,CREATE,2
2020-11-11,SAVE Plan,471
2020-11-11,OPEN Plan,61
2020-11-11,CREATE DAVINCI STYLE,2
2020-11-11,COPY Style,29
2020-11-11,CLOSE Plan,43
2020-11-10,CLOSE Plan,26
2020-11-10,CREATE,2
2020-11-10,COPY Style,14
2020-11-10,SAVE Plan,187
2020-11-10,OPEN Plan,50
2020-11-10,Delete Style,2
2020-11-10,CREATE DAVINCI STYLE,2
2020-11-09,SAVE Plan,101
2020-11-09,OPEN Plan,86
2020-11-09,COPY Style,1
2020-11-09,CLOSE Plan,45
2020-11-06,COPY Style,4
2020-11-06,CLOSE Plan,44
2020-11-06,CREATE,7
2020-11-06,CREATE ANATWINE STYLE,16
2020-11-06,OPEN Plan,58
2020-11-06,SAVE Plan,150
2020-11-06,CREATE DAVINCI STYLE,7
2020-11-05,COPY Style,7
2020-11-05,CLOSE Plan,60
2020-11-05,CREATE,2
2020-11-05,SAVE Plan,67
2020-11-05,OPEN Plan,72
2020-11-05,CREATE DAVINCI STYLE,2
2020-11-04,OPEN Plan,63
2020-11-04,CREATE DAVINCI STYLE,1
2020-11-04,CREATE ANATWINE STYLE,4
2020-11-04,CREATE,1
2020-11-04,COPY Style,1
2020-11-04,SAVE Plan,69
2020-11-04,CLOSE Plan,36
2020-11-03,CLOSE Plan,74
2020-11-03,CREATE ANATWINE STYLE,20
2020-11-03,OPEN Plan,101
2020-11-03,SAVE Plan,121
2020-11-02,CLOSE Plan,44
2020-11-02,COPY Style,4
2020-11-02,CREATE,5
2020-11-02,CREATE DAVINCI STYLE,5
2020-11-02,OPEN Plan,59
2020-11-02,SAVE Plan,50
2020-10-30,CREATE DAVINCI STYLE,3
2020-10-30,OPEN Plan,40
2020-10-30,CREATE,3
2020-10-30,CLOSE Plan,23
2020-10-30,COPY Style,1
2020-10-30,SAVE Plan,43
2020-10-29,SAVE Plan,200
2020-10-29,OPEN Plan,155
2020-10-29,Delete Style,8
2020-10-29,CREATE DAVINCI STYLE,17
2020-10-29,CLOSE Plan,78
2020-10-29,COPY Style,19
2020-10-29,CREATE,17
