day,metric,actionname,timecost
2020-11-24 ,Brand Category,Update Metric,1,43
2020-11-19 ,Brand Category,Update Metric,5,73
2020-11-18 ,Brand Category,Update Metric,4,5
2020-11-17 ,Brand Category,Update Metric,2,03
2020-11-16 ,Brand Category,Update Metric,4,26
2020-11-10 ,Brand Category,Update Metric,3,29
2020-11-09 ,Pref. Retail Price,Update Metric,7,96
2020-11-06 ,Primary Color,Update Metric,,1
2020-11-04 ,Pref. Retail Price,Update Metric,4,66
2020-11-03 ,Retail Price,Update Metric,8,5
2020-11-02 ,Primary Color,Update Metric,,1
2020-10-30 ,Primary Color,Update Metric,,1
2020-10-29 ,Primary Color,Update Metric,,08
2020-10-28 ,Primary Color,Update Metric,,1
2020-10-27 ,Brand Category,Update Metric,2,44
2020-10-26 ,Primary Color,Update Metric,,14
2020-10-23 ,Product Category,Update Metric,,06
2020-10-22 ,Supplier Name,Update Metric,3,69
2020-10-21 ,Brand,Update Metric,1,62
2020-10-20 ,Brand Category,Update Metric,2,25
2020-10-19 ,Primary Color,Update Metric,,11
2020-10-16 ,Brand Category,Update Metric,2,07
2020-10-15 ,Primary Color,Update Metric,,11
2020-10-14 ,Primary Color,Update Metric,,17
2020-10-13 ,Brand Category,Update Metric,3,48
2020-10-12 ,Primary Color,Update Metric,,16
2020-10-09 ,Size Curve Confirmed,Update Metric,0
2020-10-08 ,Primary Color,Update Metric,,06
2020-10-07 ,Primary Color,Update Metric,,12
2020-10-06 ,Primary Color,Update Metric,,12
2020-10-05 ,Primary Color,Update Metric,,11
2020-10-02 ,Main Group,Update Metric,,49
2020-10-01 ,RFID,Update Metric,0
2020-09-30 ,Supp. Variant Number,Update Metric,0
2020-09-29 ,Primary Color,Update Metric,,13
2020-09-28 ,Statistics Number,Update Metric,1,32
2020-09-25 ,Brand,Update Metric,1,64
2020-09-24 ,Brand Category,Update Metric,1,72
2020-09-23 ,Primary Color,Update Metric,,15
2020-09-22 ,Supplier Name,Update Metric,1,43
2020-09-21 ,Secondary Color,Update Metric,1,82
2020-09-18 ,Primary Color,Update Metric,,53
2020-09-17 ,Brand Category,Update Metric,1,84
2020-09-16 ,Secondary Color,Update Metric,1,31
2020-09-15 ,Brand Category,Update Metric,2,95
2020-09-14 ,Primary Color,Update Metric,,12
2020-09-11 ,Primary Color,Update Metric,,11
2020-09-10 ,Retail Price,Update Metric,3,42
2020-09-09 ,Brand Category,Update Metric,1,66
2020-09-08 ,Primary Color,Update Metric,,18
2020-09-07 ,Primary Color,Update Metric,,1
2020-09-04 ,Brand Category,Update Metric,1,73
2020-09-03 ,Primary Color,Update Metric,,22
2020-09-02 ,Primary Color,Update Metric,,08
2020-09-01 ,Sales Weeks,Update Metric,,71
2020-08-31 ,Supplier Name,Update Metric,1,33
2020-08-28 ,Brand Category,Update Metric,1,64
2020-08-27 ,Secondary Color,Update Metric,1,4
2020-08-26 ,Size Curve Confirmed,Update Metric,,03
2020-08-25 ,Brand Category,Update Metric,3,79
