day,actionname,metric,timecost
2020-10-29,OPEN REPORT,Excel Extract #1 New,2.03
2020-10-28,OPEN REPORT,Seasonal Info,19.1
2020-10-26,OPEN REPORT,Excel Extract #1 New,4.19
2020-10-23,OPEN REPORT,Excel Extract SC,0
2020-10-22,OPEN REPORT,Excel Extract #1 New,16.55
2020-10-21,OPEN REPORT,Excel Extract #1 New,5.9
2020-10-20,OPEN REPORT,Excel Extract #1 New,5.48
2020-10-19,OPEN REPORT,Excel Extract #1 New,10.01
2020-10-16,OPEN REPORT,Seasonal Info,6.05
2020-10-15,OPEN REPORT,Seasonal Info,11.77
2020-10-14,OPEN REPORT,Excel Extract #1 New,5.26
2020-10-13,OPEN REPORT,Excel Extract #1 New,4.74
2020-10-12,OPEN REPORT,Excel Extract SC,10.44
2020-10-09,OPEN REPORT,Excel Extract #1 New,10.09
2020-10-08,OPEN REPORT,Excel Extract #1 New,3.98
2020-10-07,OPEN REPORT,Excel Extract #1 New,10.95
2020-10-06,OPEN REPORT,Excel Extract #1 New,9.09
2020-10-05,OPEN REPORT,Excel Extract #1 New,3.08
2020-10-02,OPEN REPORT,Excel Extract #1 New,8.94
2020-10-01,OPEN REPORT,Excel Extract #1 New,5.18
2020-09-30,OPEN REPORT,Excel Extract #1 New,13.18
2020-09-29,OPEN REPORT,Excel Extract #1 New,1.05
2020-09-28,OPEN REPORT,Excel Extract AP/BUYER,45.68
2020-09-25,OPEN REPORT,Excel Extract #1 New,5.38
2020-09-24,OPEN REPORT,Excel Extract #1 New,2.55
2020-09-23,OPEN REPORT,Calculation,11.76
2020-09-22,OPEN REPORT,Excel Extract #1 New,5.98
2020-09-21,OPEN REPORT,Excel Extract #1 New,4.5
2020-09-18,OPEN REPORT,Excel Extract #1 New,10.03
2020-09-17,OPEN REPORT,Excel Extract SC,6.18
2020-09-16,OPEN REPORT,Excel Extract #1 New,5.02
2020-09-15,OPEN REPORT,Excel Extract AP/BUYER,5.02
2020-09-14,OPEN REPORT,Excel Extract #1 New,4.03
2020-09-11,OPEN REPORT,Excel Extract #1 New,4.13
2020-09-10,OPEN REPORT,Seasonal Info,6.62
2020-09-09,OPEN REPORT,Excel Extract #1 New,6.98
2020-09-08,OPEN REPORT,Excel Extract #1 New,3.76
2020-09-07,OPEN REPORT,Excel Extract #1 New,4.26
2020-09-04,OPEN REPORT,Seasonal Info,4.67
2020-09-03,OPEN REPORT,Excel Extract #1 New,3.49
2020-09-02,OPEN REPORT,Excel Extract #1 New,4.99
2020-09-01,OPEN REPORT,Excel Extract #1 New,2.73
2020-08-31,OPEN REPORT,Excel Extract #1 New,4.41
2020-08-28,OPEN REPORT,Seasonal Info,6.57
2020-08-27,OPEN REPORT,Seasonal Info,11.92
2020-08-26,OPEN REPORT,Excel Extract #1 New,5.72
2020-08-25,OPEN REPORT,Calculation,6.04
2020-08-24,OPEN REPORT,Excel Extract #1 New,3.79
2020-08-21,OPEN REPORT,Excel Extract #1 New,6.88
2020-08-20,OPEN REPORT,Excel Extract #1 New,1.86
2020-08-19,OPEN REPORT,Excel Extract #1 New,6.15
2020-08-18,OPEN REPORT,Excel Extract #1 New,7.19
2020-08-17,OPEN REPORT,Excel Extract #1 New,4.49
2020-08-14,OPEN REPORT,Excel Extract #1 New,2.83
2020-08-13,OPEN REPORT,Excel Extract SC,5.6
2020-08-12,OPEN REPORT,Excel Extract #1 New,9.75
2020-08-11,OPEN REPORT,Excel Extract #1 New,5.18
2020-08-10,OPEN REPORT,Excel Extract #1 New,1.55
2020-08-07,OPEN REPORT,Excel Extract #1 New,5.6
2020-08-06,OPEN REPORT,Excel Extract #1 New,4.91
