day,actionname,type,times
2020-09-24,OPEN REPORT,Excel Extract #1 New,5
2020-09-24,OPEN REPORT,Seasonal Info,1
2020-09-23,OPEN REPORT,Excel Extract #1 - BUC,1
2020-09-23,OPEN REPORT,Excel Extract AP/BUYER,2
2020-09-23,OPEN REPORT,Calculation,1
2020-09-23,OPEN REPORT,Excel Extract #1,1
2020-09-23,OPEN REPORT,N/A,1
2020-09-23,OPEN REPORT,Excel Extract #1 New,21
2020-09-22,OPEN REPORT,Excel Extract #1 New,26
2020-09-22,OPEN REPORT,Seasonal Info,1
2020-09-22,OPEN REPORT,Calculation,6
2020-09-22,OPEN REPORT,Store Info Extract,1
2020-09-22,OPEN REPORT,Price Analysis,1
2020-09-21,OPEN REPORT,Excel Extract #1 New,15
2020-09-18,OPEN REPORT,Excel Extract #1 New,15
2020-09-18,OPEN REPORT,Excel Extract AP/BUYER,1
2020-09-17,OPEN REPORT,Excel Extract AP/BUYER,2
2020-09-17,OPEN REPORT,Excel Extract SC,1
2020-09-17,OPEN REPORT,Excel Extract #1 New,9
2020-09-16,OPEN REPORT,Excel Extract #1 New,7
2020-09-15,OPEN REPORT,Excel Extract AP/BUYER,2
2020-09-15,OPEN REPORT,Excel Extract #1 New,5
2020-09-14,OPEN REPORT,Excel Extract AP/BUYER,1
2020-09-14,OPEN REPORT,Excel Extract #1 New,11
2020-09-11,OPEN REPORT,Excel Extract #1 New,7
2020-09-10,OPEN REPORT,Excel Extract #1,1
2020-09-10,OPEN REPORT,Seasonal Info,5
2020-09-10,OPEN REPORT,Excel Extract #1 New,7
2020-09-09,OPEN REPORT,Excel Extract #1 New,5
2020-09-08,OPEN REPORT,Price Extract,1
2020-09-08,OPEN REPORT,Excel Extract #1 New,7
2020-09-08,OPEN REPORT,Excel Extract AP/BUYER,2
2020-09-07,OPEN REPORT,Excel Extract #1 New,9
2020-09-04,OPEN REPORT,Seasonal Info,1
2020-09-04,OPEN REPORT,Excel Extract #1 New,5
2020-09-04,OPEN REPORT,Store Info Extract,1
2020-09-03,OPEN REPORT,Excel Extract AP/BUYER,3
2020-09-03,OPEN REPORT,Store Info Extract,1
2020-09-03,OPEN REPORT,Excel Extract #1 New,8
2020-09-02,OPEN REPORT,Excel Extract #1 New,13
2020-09-02,OPEN REPORT,Excel Extract SC,1
2020-09-02,OPEN REPORT,Store Info Extract,2
2020-09-02,OPEN REPORT,Excel Extract AP/BUYER,4
