day,usercnt
2020-05-12,31
2020-05-13,31
2020-05-14,28
2020-05-15,9
2020-05-16,2
2020-05-17,3
2020-05-18,34
2020-05-19,31
2020-05-20,10
2020-05-21,2
2020-05-22,4
2020-05-23,2
2020-05-24,2
2020-05-25,38
2020-05-26,33
2020-05-27,31
2020-05-28,20
2020-05-29,14
2020-05-30,1
2020-05-31,4
2020-06-01,30
2020-06-02,29
2020-06-03,34
2020-06-04,30
2020-06-05,7
2020-06-06,2
2020-06-07,7
2020-06-08,35
2020-06-09,31
2020-06-10,29
2020-06-11,26
2020-06-12,12
2020-06-13,2
2020-06-14,5
2020-06-15,35
2020-06-16,29
2020-06-17,30
2020-06-18,15
2020-06-19,2
2020-06-20,2
2020-06-21,7
2020-06-22,33
2020-06-23,39
2020-06-24,39
2020-06-25,32
2020-06-26,13
2020-06-27,1
2020-06-28,4
2020-06-29,33
2020-06-30,31
2020-07-01,35
2020-07-02,28
2020-07-03,12
2020-07-04,1
2020-07-05,4
2020-07-06,28
2020-07-07,23
2020-07-08,27
2020-07-09,14
2020-07-10,6
